src_ip,total_sessions,username_entropy,password_entropy,command_entropy
1.117.26.65,3,0.9182958340544894,1.584962500721156,1.0
1.13.79.144,1,0.0,0.0,0.0
1.14.155.39,3,0.0,0.0,4.247927513443585
1.158.136.26,3,0.9182958340544894,1.584962500721156,1.0
1.180.230.98,1,0.0,0.0,0.0
1.192.18.4,2,0.0,0.0,0.0
1.194.210.131,1,0.0,0.0,0.0
1.194.236.204,7,0.0,0.0,0.0
1.194.238.148,1,0.0,0.0,0.0
1.194.239.176,1,0.0,0.0,0.0
1.195.32.3,1,0.0,0.0,0.0
1.197.78.123,1,0.0,0.0,0.0
1.202.223.2,1,0.0,0.0,0.0
1.221.66.66,4,1.5,2.0,0.9182958340544894
1.234.82.39,1,0.0,0.0,0.0
1.235.192.131,2,1.0,1.0,0.0
1.245.207.104,1,0.0,0.0,0.0
1.247.245.61,1,0.0,0.0,0.0
1.254.101.182,3,0.9182958340544894,1.584962500721156,1.0
1.55.33.86,6,1.584962500721156,1.9182958340544896,1.0
1.7.182.136,2,1.0,1.0,4.247927513443585
1.71.133.247,4,0.0,0.0,4.321928094887362
1.92.132.60,1,0.0,0.0,0.0
1.94.146.243,1,0.0,0.0,0.0
1.94.39.10,2,0.0,0.0,0.0
1.94.54.215,1,0.0,0.0,0.0
1.94.55.63,2,0.0,0.0,0.0
1.95.132.195,1,0.0,0.0,0.0
1.95.138.76,1,0.0,0.0,0.0
1.95.157.153,1,0.0,0.0,0.0
1.95.205.22,3,0.0,0.0,4.247927513443585
1.95.47.62,3,0.9182958340544894,1.584962500721156,1.0
101.100.194.23,3,0.9182958340544894,1.584962500721156,1.0
101.100.194.84,6,1.584962500721156,1.9182958340544896,1.0
101.100.220.34,3,0.9182958340544894,1.584962500721156,1.0
101.108.53.147,52,3.2960831968752062,4.324796793869523,0.0
101.126.11.137,4,0.0,0.0,4.321928094887362
101.126.130.103,2,0.0,0.0,0.0
101.126.131.241,2,0.0,0.0,0.0
101.126.132.190,1,0.0,0.0,0.0
101.126.14.37,4,0.0,0.0,0.0
101.126.143.173,2,0.0,0.0,0.0
101.126.143.235,2,0.0,0.0,0.0
101.126.147.0,1,0.0,0.0,0.0
101.126.149.19,2,0.0,0.0,0.0
101.126.151.131,1,0.0,0.0,0.0
101.126.153.85,1,0.0,0.0,0.0
101.126.155.124,5,0.9182958340544894,1.584962500721156,1.0
101.126.157.72,3,0.0,1.0,1.0
101.126.158.130,2,0.0,0.0,0.0
101.126.159.33,3,1.0,1.0,1.0
101.126.23.102,3,0.0,0.0,4.321928094887362
101.126.23.16,1,0.0,0.0,0.0
101.126.24.255,2,0.0,0.0,0.0
101.126.24.58,1,0.0,0.0,0.0
101.126.26.93,1,0.0,0.0,0.0
101.126.27.196,1,0.0,0.0,0.0
101.126.27.208,1,0.0,0.0,0.0
101.126.30.240,4,0.9182958340544894,1.584962500721156,1.0
101.126.35.9,1,0.0,0.0,0.0
101.126.4.215,4,0.0,0.0,0.0
101.126.54.167,3,0.0,0.0,1.584962500721156
101.126.54.36,5,0.9182958340544894,1.584962500721156,1.0
101.126.54.88,4,0.9182958340544894,1.584962500721156,1.0
101.126.55.67,1,0.0,0.0,0.0
101.126.65.104,5,0.0,0.0,0.0
101.126.66.223,3,0.9182958340544894,1.584962500721156,1.0
101.126.68.11,1,0.0,0.0,0.0
101.126.68.247,4,0.9182958340544894,1.584962500721156,1.0
101.126.77.205,3,0.9182958340544894,1.584962500721156,1.0
101.126.78.108,1,0.0,0.0,0.0
101.126.81.18,13,1.0,0.0,0.0
101.126.82.218,1,0.0,0.0,0.0
101.126.88.203,1,0.0,0.0,0.0
101.126.88.245,4,0.9182958340544894,1.584962500721156,1.0
101.126.88.251,3,0.9182958340544894,1.584962500721156,1.0
101.126.88.79,1,0.0,0.0,0.0
101.126.88.93,3,0.0,0.0,0.0
101.126.89.144,29,4.142664355548849,4.142664355548849,1.0
101.126.89.35,1,0.0,0.0,0.0
101.126.90.162,1,0.0,0.0,0.0
101.126.90.52,2,0.0,0.0,0.0
101.126.91.190,3,0.9182958340544894,1.584962500721156,1.0
101.126.92.215,2,0.0,0.0,0.0
101.13.4.127,1,0.0,0.0,0.0
101.132.132.123,1,0.0,0.0,0.0
101.16.164.227,1,0.0,0.0,0.0
101.168.11.223,4,1.584962500721156,0.9182958340544894,0.0
101.168.29.210,4,1.584962500721156,0.9182958340544894,0.0
101.168.39.47,6,0.9182958340544894,0.9182958340544894,0.0
101.168.7.222,2,0.0,0.0,0.0
101.168.9.227,4,1.584962500721156,0.9182958340544894,0.0
101.200.243.197,2,0.0,0.0,0.0
101.201.38.226,4,0.0,0.0,0.0
101.226.180.6,4,0.9182958340544894,1.584962500721156,1.0
101.227.203.162,7,1.5,2.0,4.277613436819116
101.227.231.190,6,1.5,2.0,1.0
101.254.166.52,2,0.0,0.0,0.0
101.254.99.131,1,0.0,0.0,0.0
101.33.201.139,1,0.0,0.0,0.0
101.36.108.134,3,0.9182958340544894,1.584962500721156,1.0
101.36.117.148,3,0.9182958340544894,1.584962500721156,1.0
101.36.118.108,3,0.9182958340544894,1.584962500721156,1.0
101.36.119.50,3,0.9182958340544894,1.584962500721156,1.0
101.36.122.196,6,0.9182958340544894,1.9182958340544896,1.0
101.36.231.231,1,0.0,0.0,0.0
101.36.97.70,8,0.0,0.0,0.0
101.37.85.27,3,0.0,0.0,0.0
101.47.135.95,4,0.0,0.0,0.0
101.47.31.92,3,0.9182958340544894,1.584962500721156,1.0
101.47.5.97,3,0.9182958340544894,1.584962500721156,1.0
101.47.72.10,3,0.9182958340544894,1.584962500721156,1.0
101.47.72.59,3,0.9182958340544894,1.584962500721156,1.0
101.51.52.208,1,0.0,0.0,0.0
101.89.109.195,4,0.0,1.0,0.0
101.89.148.142,3,0.9182958340544894,1.584962500721156,1.0
101.89.148.7,2,0.0,0.0,0.0
101.89.170.33,3,0.9182958340544894,1.584962500721156,1.0
101.89.190.216,2,0.0,0.0,0.0
101.89.219.69,3,0.9182958340544894,1.584962500721156,1.0
101.91.114.194,2,0.0,0.0,0.0
101.91.192.9,1,0.0,0.0,0.0
101.91.213.117,3,0.9182958340544894,1.584962500721156,1.0
102.140.97.134,3,0.9182958340544894,1.584962500721156,1.0
102.152.155.154,1,0.0,0.0,0.0
102.210.80.6,6,1.584962500721156,1.9182958340544896,1.0
102.211.222.156,1,0.0,0.0,0.0
102.212.105.34,1,0.0,0.0,0.0
102.216.219.24,1,0.0,0.0,0.0
102.23.122.235,6,1.584962500721156,1.9182958340544896,1.0
102.88.10.10,1,0.0,0.0,0.0
103.10.45.57,30,4.906890595608518,4.681727678869736,0.0
103.100.64.98,2,0.0,0.0,0.0
103.101.160.198,3,0.9182958340544894,1.584962500721156,1.0
103.106.194.74,3,0.9182958340544894,1.584962500721156,1.0
103.111.88.94,6,1.584962500721156,1.9182958340544896,1.0
103.112.13.210,2,0.0,0.0,0.0
103.112.131.71,3,0.9182958340544894,1.584962500721156,1.0
103.114.146.178,3,0.9182958340544894,1.584962500721156,1.0
103.116.177.251,6,1.584962500721156,1.9182958340544896,1.0
103.116.177.252,3,0.9182958340544894,1.584962500721156,1.0
103.117.56.120,3,0.9182958340544894,1.584962500721156,1.0
103.117.56.152,3,0.9182958340544894,1.584962500721156,1.0
103.117.57.106,3,0.9182958340544894,1.584962500721156,1.0
103.117.57.201,3,0.9182958340544894,1.584962500721156,1.0
103.119.117.10,3,0.9182958340544894,1.584962500721156,1.0
103.120.227.88,1,0.0,0.0,0.0
103.123.63.37,3,0.9182958340544894,1.584962500721156,1.0
103.124.100.115,6,1.584962500721156,1.9182958340544896,1.0
103.124.196.184,3,0.9182958340544894,1.584962500721156,1.0
103.125.57.138,1,0.0,0.0,0.0
103.130.213.118,3,0.9182958340544894,1.584962500721156,1.0
103.130.215.106,3,0.9182958340544894,1.584962500721156,1.0
103.131.168.203,1,0.0,0.0,0.0
103.132.243.250,3,0.9182958340544894,1.584962500721156,1.0
103.134.154.248,3,0.9182958340544894,1.584962500721156,1.0
103.134.154.66,9,1.5304930567574826,2.113283334294875,1.0
103.134.154.72,12,1.9182958340544896,2.251629167387823,1.0
103.139.192.12,3,0.9182958340544894,1.584962500721156,1.0
103.139.193.161,3,0.9182958340544894,1.584962500721156,1.0
103.139.193.176,3,0.9182958340544894,1.584962500721156,1.0
103.139.193.216,3,0.9182958340544894,1.584962500721156,1.0
103.14.33.177,3,0.9182958340544894,1.584962500721156,1.0
103.14.33.76,6,1.584962500721156,1.9182958340544896,1.0
103.140.2.112,1,0.0,0.0,0.0
103.141.208.61,9,1.5304930567574826,2.113283334294875,1.0
103.143.168.212,1,0.0,0.0,0.0
103.144.87.192,3,0.9182958340544894,1.584962500721156,1.0
103.145.145.74,6,0.9182958340544894,1.9182958340544896,1.0
103.145.145.75,3,0.9182958340544894,1.584962500721156,1.0
103.145.145.80,3,0.9182958340544894,1.584962500721156,1.0
103.146.159.74,3,0.9182958340544894,1.584962500721156,1.0
103.146.233.123,1,0.0,0.0,0.0
103.146.51.146,3,0.9182958340544894,1.584962500721156,1.0
103.149.27.228,3,0.9182958340544894,1.584962500721156,1.0
103.149.86.21,3,0.9182958340544894,1.584962500721156,1.0
103.151.20.180,3,0.9182958340544894,1.584962500721156,1.0
103.151.20.98,30,4.906890595608518,4.389898095464288,0.0
103.152.18.138,9,1.974937501201927,2.113283334294875,1.0
103.154.143.162,1,0.0,0.0,0.0
103.154.87.242,30,4.840223928941851,4.519902579793958,0.0
103.157.224.104,3,0.9182958340544894,1.584962500721156,1.0
103.157.25.54,3,0.9182958340544894,1.584962500721156,1.0
103.157.59.169,1,0.0,1.0,3.0
103.160.132.4,1,0.0,0.0,0.0
103.161.207.2,3,0.9182958340544894,1.584962500721156,1.0
103.163.119.34,3,0.0,1.0,1.0
103.165.156.230,6,1.584962500721156,1.9182958340544896,1.0
103.166.210.26,6,1.584962500721156,1.9182958340544896,1.0
103.167.90.22,1,0.0,0.0,0.0
103.17.48.8,3,0.9182958340544894,1.584962500721156,1.0
103.170.4.19,3,1.0,1.0,1.0
103.171.251.104,3,0.9182958340544894,1.584962500721156,1.0
103.171.52.66,6,1.584962500721156,1.9182958340544896,1.0
103.171.84.21,3,0.9182958340544894,1.584962500721156,1.0
103.171.84.79,3,0.9182958340544894,1.584962500721156,1.0
103.171.85.115,3,0.9182958340544894,1.584962500721156,1.0
