k,seed,Standardization,Normalization
2,0,0.677795577411732,0.6164265108586605
2,1,0.56435735747937,0.6164265108586605
2,2,0.677795577411732,0.6164265108586605
2,3,0.5876696779929224,0.6707657569446441
2,4,0.677795577411732,0.6444035699371379
3,0,0.6626104294057731,0.7051029271794697
3,1,0.6625838113211877,0.6766711389561393
3,2,0.6626104294057731,0.6766711389561393
3,3,0.6610415384604651,0.7052943159479101
3,4,0.6610415384604651,0.7051029271794697
4,0,0.7101499670044746,0.7630761571821666
4,1,0.6481683222370124,0.7630761571821666
4,2,0.7101499670044746,0.7630761571821666
4,3,0.7101499670044746,0.7101919541594942
4,4,0.7101499670044746,0.7630761571821666
5,0,0.7309722844210048,0.7672633751245616
5,1,0.6444452264996192,0.77727227984582
5,2,0.7071111876324508,0.7580093645669819
5,3,0.7254244758960074,0.77727227984582
5,4,0.687066228766662,0.7681307690913438
6,0,0.7284412943890912,0.7747232797994763
6,1,0.6883862454348709,0.7289637113226703
6,2,0.731962956154611,0.7566679147131349
6,3,0.7226316011774707,0.7761827839435429
6,4,0.7111280287969366,0.7562810881224497
7,0,0.7105107482655307,0.7737910422005327
7,1,0.6916297205734709,0.7451714477362313
7,2,0.7181937644876499,0.7292538522327499
7,3,0.7109241839885735,0.7760738117115551
7,4,0.700583600765106,0.7658995534600976
8,0,0.7057130196050576,0.7752573551567681
8,1,0.6701344690442924,0.7351283843392304
8,2,0.7222981409416368,0.758025899175083
8,3,0.7120983839886716,0.7712290548672478
8,4,0.7334267043635154,0.7396892478332792
9,0,0.7094489274472056,0.780049272912836
9,1,0.6770787100695906,0.7574100123724076
9,2,0.7243596023679726,0.7622896615953246
9,3,0.7070301023859418,0.77408278059805
9,4,0.7329602356169947,0.737747484211257
10,0,0.7169673199159177,0.7704977993251517
10,1,0.7177062234927025,0.762371839269693
10,2,0.7319736970311962,0.7579291456646686
10,3,0.7375467546980105,0.767440351359326
10,4,0.7281866133585863,0.7426797875152247
